t, p_x, p_y, p_z, q_w, q_x, q_y, q_z
0.035000000000000003,0.18230795949923412,0.15882021447321387,-0.078852633617455245,0.85222829803510503,0.35641905144390151,-0.14288549566712572,0.35532537613288701
0.13500000000000001,0.27351157548445149,0.18365778348481024,0.040627586411460345,0.84927511388001453,0.36031684078420978,-0.15382536807061647,0.35389449180414523
0.23500000000000001,0.22003911643745053,0.20475492238709914,0.024889868906588092,0.85312527913444525,0.35924918999670857,-0.13411723496205413,0.35373697131430409
0.33500000000000002,0.27044796945323324,0.17329253163336691,0.096536239195197132,0.85651931571738116,0.35414475848896082,-0.14603942349156096,0.34587373219728235
0.435,0.24126599425630557,0.15925703726217219,-0.026412402026928329,0.85760496481287396,0.35770995942926254,-0.14139092425996633,0.34141750949583288
0.53500000000000003,0.29883101262768186,0.2272305915567627,-0.0063889629808342192,0.84816041072407333,0.35676816871105621,-0.14802972713388524,0.36252943516299224
0.63500000000000001,0.17120831604399259,0.19620229880662315,-0.0058527802202530165,0.85448797386831921,0.35895973802417291,-0.12386492905359316,0.35447946110117601
0.73499999999999999,0.17818134563622617,0.21399887196470588,0.005314199715986556,0.85647128625448166,0.35774588614656477,-0.13337012843810603,0.34740067013062326
0.83499999999999996,0.12210578116445836,0.096666767618275085,-0.0021950407322145846,0.85157973969839029,0.35965188234798939,-0.14421164046114646,0.35307998132756668
0.93500000000000005,0.22911842060693224,0.19092661871378427,0.0039110519589261117,0.85599120094196413,0.35457265747518191,-0.13647303157499777,0.35061717889123872
1.0349999999999999,0.17318955109898698,0.27195171794445089,-0.023358796425761899,0.85461560200156128,0.34062429752357887,-0.15630358002638736,0.359411256950881
1.135,0.18615234528960392,0.21750632738141212,-0.011988921291582848,0.85264283959225728,0.35273340532277098,-0.14262380803895891,0.35810303299737656
1.2350000000000001,0.14084196255284401,0.19444329488092243,-0.029901988319343382,0.84235319664877739,0.36854318220639765,-0.15154255355487206,0.3628386272254332
1.335,0.20146648255381805,0.22752151618166233,-0.033012101620637856,0.84943444993152384,0.35251555912518334,-0.15166670549346348,0.36220312849138647
1.4350000000000001,0.27054363338660625,0.20157162626997593,0.012804780165648197,0.84827516759368315,0.35665036901054226,-0.1534394272825311,0.36011955859653305
1.5350000000000001,0.19351203029727976,0.15242681237554917,0.077160866071578016,0.84624383780001822,0.36162497666420701,-0.1534026195121718,0.35995330192250213
1.635,0.17895217615969053,0.26340946725326658,0.049650457856050531,0.85582962640189464,0.355721712179211,-0.15497180377366443,0.34205475306187594
1.7350000000000001,0.25195369312078075,0.23037869134770256,-0.0076068540087987887,0.85995836451612928,0.35736461652401186,-0.14587518426935203,0.33389006090294571
1.835,0.19933395376626492,0.23039763744800615,0.040402938429878008,0.85533501476668883,0.35260094285050575,-0.15736994529783077,0.34541176576943677
1.9350000000000001,0.2086222256553929,0.22925300106243807,-0.020552629362261134,0.84834970414790645,0.36456065953759609,-0.13878587547004848,0.35796198926657669
2.0350000000000001,0.22413941757598677,0.21867779609994981,-0.039101504594363228,0.85724131853285768,0.35118445908172174,-0.1373434669485889,0.35063309824668304
2.1350000000000002,0.046055532251118331,0.153829541902787,-0.068620237339581905,0.8539385687428096,0.34800813864669933,-0.14066517801479636,0.36040610974733372
2.2349999999999999,0.25386515890379546,0.091094943648132753,0.009898238464878216,0.85473053094889717,0.353993019303252,-0.14223953194394173,0.35198377420095966
2.335,0.15703059011163772,0.20911042318626874,-0.007858394465519232,0.85370078153573103,0.36283967207578016,-0.13787015106081935,0.34718031254621745
2.4350000000000001,0.1940342217460429,0.23580400718849565,0.01602163099475206,0.85189745970073327,0.3571147780307633,-0.15435646043978068,0.350590696664898
2.5350000000000001,0.12632620004186174,0.11800316876520602,-0.067605668983290443,0.85693554808225936,0.34489431256276526,-0.14278061711860141,0.35541957595220725
2.6350000000000002,0.20822063086476253,0.16171884888119128,0.046454793999159867,0.85303078758035777,0.35059936304426037,-0.15572708522221312,0.35379038568223853
2.7349999999999999,0.18616539856931341,0.28197423847489728,0.0097193826969131127,0.85191801804660583,0.36350292729568107,-0.14377111892150904,0.34846976588948309
2.835,0.28051862881536804,0.21930357121128494,0.0079172372423851715,0.8503875830115406,0.35174506847541948,-0.14714409157641187,0.36258100029809204
2.9350000000000001,0.25112209713803779,0.17949331062685292,0.0069183582479962931,0.86167551819326726,0.35100103358004098,-0.1318560332455076,0.34194672431369616
3.0350000000000001,0.23431799935279382,0.23111650076927445,-0.06832785648723097,0.85763772446600572,0.34676147076375574,-0.14008469779839977,0.35297350241804232
3.1350000000000002,0.18647471933431409,0.29951534651982048,-0.040028649357398888,0.86254374455413929,0.3396006599570871,-0.13557227234817013,0.34972823657461249
3.2349999999999999,0.18189898554275455,0.17869763312375081,0.031085298792001136,0.8461062234548048,0.35590657570696105,-0.14372049556731861,0.36983670336173696
3.335,0.20898484440748186,0.25847393220802206,0.0033277638668304608,0.85168721707369244,0.35617938097161372,-0.154393149662156,0.35203393044044251
3.4350000000000001,0.25897797117902499,0.16184309063150537,-0.040325228912691857,0.85674638422267435,0.33937095687733504,-0.15577811471799555,0.35573327891053819
3.5350000000000001,0.22724634769192156,0.24782218162303549,-0.023242639167621711,0.85316073126200509,0.35595318260889447,-0.14455539381208146,0.35287084966445426
3.6350000000000002,0.12567491288522326,0.25822803072309286,0.089354916797154071,0.85508046829399842,0.34521070106501073,-0.14389166618562163,0.35911300869593404
3.7349999999999999,0.25284047525846798,0.22687788562690059,-0.050810530147162004,0.86039812705138929,0.34238301879320848,-0.14181825506776538,0.34982354686047801
