t, p_z
0.245,0.32083788030409083
0.495,0.057302479121011628
0.745,-0.057445473787139281
0.995,0.21182458822957964
1.2450000000000001,0.041788557297219198
1.4950000000000001,-0.07759420386252322
1.7450000000000001,0.017734589633679482
1.9950000000000001,0.10963908046839561
2.2450000000000001,-0.14095807228083088
2.4950000000000001,-0.15626333579241455
2.7450000000000001,0.044562581967521463
2.9950000000000001,0.18469232145794082
3.2450000000000001,0.075620380481909388
3.4950000000000001,-0.20959498199655982
3.7450000000000001,0.059370006460476236
3.9950000000000001,-0.06207601564667057
4.2450000000000001,-0.22514227338282355
4.4950000000000001,-0.13257323171453608
4.7450000000000001,0.0034022890231645096
4.9950000000000001,-0.2460026569113026
5.2450000000000001,-0.036563929088764685
5.4950000000000001,0.49712282783040851
5.7450000000000001,0.32065918836052404
5.9950000000000001,0.48169016826097022
6.2450000000000001,0.79511645507058315
6.4950000000000001,0.52661750455190304
6.7450000000000001,0.95816146288030613
6.9950000000000001,1.2097114329417638
7.2450000000000001,0.98897545394650499
7.4950000000000001,1.402924668015697
7.7450000000000001,1.4381424504903957
7.9950000000000001,1.3804399357303088
8.245000000000001,1.7571759036902785
8.495000000000001,1.6297970982887879
8.745000000000001,1.8223928633599609
8.995000000000001,2.0771721795013161
9.245000000000001,2.4075908136763493
9.495000000000001,2.0143847409086009
9.745000000000001,2.5945677710398374
9.995000000000001,2.2586103806900373
10.245000000000001,2.6804035767258645
10.495000000000001,2.7425643561618247
10.745000000000001,2.90974237695215
10.995000000000001,2.7588456523931675
11.245000000000001,3.042713884082024
11.495000000000001,3.2842521298981882
11.745000000000001,2.9164611419325484
11.995000000000001,3.107010672458733
12.245000000000001,2.9900633195591308
12.495000000000001,2.9757258366119173
12.745000000000001,2.9303777180014179
12.995000000000001,2.8057533481898553
13.245000000000001,2.7502780495648027
13.495000000000001,2.6450836614852311
13.745000000000001,2.575965644703285
13.995000000000001,2.4830663052337645
14.245000000000001,2.508105145213678
14.495000000000001,2.5775597723432635
14.745000000000001,2.5702558846549373
14.995000000000001,2.9711511077606394
15.245000000000001,3.2832180940249751
15.495000000000001,3.2123364325390318
15.745000000000001,3.2433676358174788
15.995000000000001,2.9301545995613192
16.245000000000001,2.7980962879594635
16.495000000000001,2.5413684466616413
16.745000000000001,2.4647751133470095
16.995000000000001,2.4455052728188811
17.245000000000001,2.5482143475154109
17.495000000000001,2.4006176868348752
17.745000000000001,2.9847364701381358
17.995000000000001,2.9242487212093127
18.245000000000001,2.8809029034869793
18.495000000000001,2.6105217610240961
18.745000000000001,3.0995019897513023
18.995000000000001,2.8000772362545185
19.245000000000001,3.0807922750086298
19.495000000000001,2.623111202296168
19.745000000000001,2.4680981336845362
19.995000000000001,2.6502085053162263
20.245000000000001,2.6188867691360822
20.495000000000001,2.9436141188645455
20.745000000000001,2.9835907882071813
20.995000000000001,2.8808631723181866
21.245000000000001,2.8550895939240637
21.495000000000001,3.3943778419737112
21.745000000000001,3.1621741056521553
21.995000000000001,2.9322255518877456
22.245000000000001,3.1999016826919813
22.495000000000001,3.07336331447092
22.745000000000001,2.7223291373956835
22.995000000000001,2.966034158269776
23.245000000000001,3.108931049380411
23.495000000000001,3.2205023962012129
23.745000000000001,2.9001949776160982
23.995000000000001,3.0245995228531637
24.245000000000001,2.9816985614546314
24.495000000000001,3.1487176161729686
24.745000000000001,2.968731148556579
24.995000000000001,3.1689237348908836
25.245000000000001,3.3902860384233051
25.495000000000001,3.124814795625471
25.745000000000001,3.2507571590672968
